,Peak Brightness Date/Time (UT),Latitude (deg.),Longitude (deg.),Altitude (km),Velocity (km/s),vx,vy,vz,Total Radiated Energy (J),Calculated Total Impact Energy (kt),Date,Time,Year,Month
44,2021-10-21 10:32:02,51.5N,51.4E,30.0,15.9,-14.1,-7.0,-1.9,37000000000.0,0.13,2021-10-21,10:32:02,2021,October
45,2021-10-20 08:41:50,13.8N,140.4W,28.0,,,,,60000000000.0,0.19,2021-10-20,08:41:50,2021,October
46,2021-10-20 00:43:57,59.0N,154.3E,31.4,27.5,12.9,4.2,-23.9,20000000000.0,0.073,2021-10-20,00:43:57,2021,October
47,2021-09-29 10:50:59,53.9N,148.0W,28.0,21.2,-3.5,-9.0,-18.9,137000000000.0,0.4,2021-09-29,10:50:59,2021,September
48,2021-09-06 17:55:42,2.1S,111.8W,26.0,13.6,-4.4,6.9,10.9,31000000000.0,0.11,2021-09-06,17:55:42,2021,September
49,2021-07-30 08:06:34,7.8S,90.1E,63.0,,,,,146000000000.0,0.42,2021-07-30,08:06:34,2021,July
50,2021-07-29 13:19:57,42.4N,98.4E,26.4,14.7,-1.6,-11.9,-8.4,37000000000.0,0.13,2021-07-29,13:19:57,2021,July
51,2021-07-07 13:41:14,,,,,,,,33000000000.0,0.11,2021-07-07,13:41:14,2021,July
52,2021-07-05 03:46:24,44.3N,164.2W,43.4,15.7,0.7,15.7,-0.5,740000000000.0,1.8,2021-07-05,03:46:24,2021,July
53,2021-06-09 05:43:59,17.9S,55.3W,,,,,,23000000000.0,0.082,2021-06-09,05:43:59,2021,June
54,2021-05-16 15:51:08,52.1S,171.2W,37.0,,,,,38000000000.0,0.13,2021-05-16,15:51:08,2021,May
55,2021-05-06 05:54:27,34.7S,141.0E,31.0,26.6,9.6,-24.4,-4.6,21000000000.0,0.076,2021-05-06,05:54:27,2021,May
56,2021-05-02 14:12:49,12.3N,43.4W,,,,,,25000000000.0,0.089,2021-05-02,14:12:49,2021,May
57,2021-04-13 02:16:47,26.8N,79.1W,44.4,14.1,-2.8,12.6,5.6,21000000000.0,0.076,2021-04-13,02:16:47,2021,April
