,Peak Brightness Date/Time (UT),Latitude (deg.),Longitude (deg.),Altitude (km),Velocity (km/s),vx,vy,vz,Total Radiated Energy (J),Calculated Total Impact Energy (kt),Date,Time,Year,Month
194,2017-11-19 04:17:32,24.2S,135.0E,33.3,11.4,6.7,-3.4,8.6,28000000000.0,0.098,2017-11-19,04:17:32,2017,November
195,2017-10-26 22:05:35,21.3S,177.6E,42.5,,,,,558000000000.0,1.4,2017-10-26,22:05:35,2017,October
196,2017-10-23 15:31:23,28.8N,44.6E,35.4,16.7,-5.7,-10.7,-11.5,24000000000.0,0.086,2017-10-23,15:31:23,2017,October
197,2017-10-15 04:33:16,65.2S,128.2E,24.1,15.9,9.5,-8.3,9.7,33000000000.0,0.11,2017-10-15,04:33:16,2017,October
198,2017-10-09 12:51:48,18.3S,64.1W,,,,,,30000000000.0,0.1,2017-10-09,12:51:48,2017,October
199,2017-10-04 12:07:05,28.1N,99.4E,37.0,14.6,-8.5,-9.0,7.8,192000000000.0,0.54,2017-10-04,12:07:05,2017,October
200,2017-09-05 05:11:27,49.3N,116.9W,36.0,14.7,12.7,-6.1,-4.2,38000000000.0,0.13,2017-09-05,05:11:27,2017,September
201,2017-07-31 22:01:35,24.7N,118.5W,,,,,,58000000000.0,0.19,2017-07-31,22:01:35,2017,July
202,2017-07-23 06:12:38,6.6S,69.7W,38.0,17.2,-0.4,8.7,-14.8,35000000000.0,0.12,2017-07-23,06:12:38,2017,July
203,2017-07-13 09:30:36,23.1N,60.7E,35.0,13.7,-10.0,-6.5,-6.8,73000000000.0,0.23,2017-07-13,09:30:36,2017,July
204,2017-06-30 14:26:45,34.3S,134.5E,20.0,15.2,10.9,-9.7,4.2,94000000000.0,0.29,2017-06-30,14:26:45,2017,June
205,2017-06-23 20:21:55,57.0N,143.7E,35.1,24.3,17.7,13.1,-10.3,184000000000.0,0.52,2017-06-23,20:21:55,2017,June
206,2017-06-20 13:41:32,54.2S,133.0E,33.3,13.6,8.7,-5.7,8.8,636000000000.0,1.6,2017-06-20,13:41:32,2017,June
207,2017-05-24 07:03:03,9.1S,101.8E,46.0,18.4,-6.5,-16.5,-5.0,90000000000.0,0.28,2017-05-24,07:03:03,2017,May
208,2017-05-22 17:44:39,49.6S,157.6W,33.0,,,,,35000000000.0,0.12,2017-05-22,17:44:39,2017,May
209,2017-05-14 09:30:35,26.0S,32.4E,33.0,,,,,35000000000.0,0.12,2017-05-14,09:30:35,2017,May
210,2017-04-30 21:28:28,25.7S,56.2E,32.4,21.5,-13.4,-14.2,8.9,150000000000.0,0.43,2017-04-30,21:28:28,2017,April
211,2017-03-11 04:51:21,28.3N,60.2W,28.0,,,,,1263000000000.0,2.9,2017-03-11,04:51:21,2017,March
212,2017-03-09 04:16:37,40.5N,18.0W,23.0,36.5,-15.3,25.8,-20.8,400000000000.0,1.0,2017-03-09,04:16:37,2017,March
213,2017-03-08 22:21:59,26.1S,174.9E,37.0,,,,,72000000000.0,0.23,2017-03-08,22:21:59,2017,March
214,2017-02-25 01:22:59,29.5N,13.5E,25.4,12.2,-7.6,-9.3,2.2,65000000000.0,0.21,2017-02-25,01:22:59,2017,February
215,2017-02-22 18:47:30,50.7S,66.0W,,,,,,38000000000.0,0.13,2017-02-22,18:47:30,2017,February
216,2017-02-18 19:48:29,6.2N,60.4E,38.0,24.2,-6.6,-22.7,-5.3,295000000000.0,0.79,2017-02-18,19:48:29,2017,February
217,2017-02-07 17:37:31,27.4S,14.8W,54.0,,,,,20000000000.0,0.073,2017-02-07,17:37:31,2017,February
218,2017-02-06 06:09:59,10.4N,131.6E,33.5,,,,,66000000000.0,0.21,2017-02-06,06:09:59,2017,February
219,2016-12-23 03:29:09,21.3N,49.3E,42.0,29.7,-22.4,16.4,-10.5,38000000000.0,0.13,2016-12-23,03:29:09,2016,December
220,2016-12-07 04:51:39,34.5S,126.6W,,,,,,117000000000.0,0.35,2016-12-07,04:51:39,2016,December
221,2016-11-29 08:05:38,30.6S,93.1W,,,,,,31000000000.0,0.11,2016-11-29,08:05:38,2016,November
222,2016-11-24 14:10:34,15.2S,80.3E,30.6,17.4,9.1,-11.2,9.7,138000000000.0,0.4,2016-11-24,14:10:34,2016,November
223,2016-11-03 17:14:29,39.6S,16.3W,37.0,,,,,76000000000.0,0.24,2016-11-03,17:14:29,2016,November
224,2016-10-01 20:23:45,36.2N,6.7E,27.8,14.2,-10.0,3.9,-9.3,31000000000.0,0.11,2016-10-01,20:23:45,2016,October
225,2016-09-22 04:57:49,51.8S,178.5E,40.0,17.5,-2.5,-3.3,17.0,71000000000.0,0.22,2016-09-22,04:57:49,2016,September
226,2016-09-14 15:01:51,3.5S,44.6E,54.0,18.3,3.5,-16.2,7.7,76000000000.0,0.24,2016-09-14,15:01:51,2016,September
227,2016-08-27 21:45:13,56.9S,162.2E,42.0,,,,,142000000000.0,0.41,2016-08-27,21:45:13,2016,August
228,2016-08-11 05:59:58,43.7S,53.8E,34.3,14.9,-0.7,-11.4,9.6,184000000000.0,0.52,2016-08-11,05:59:58,2016,August
229,2016-08-05 18:02:44,46.4N,171.6E,32.4,,,,,121000000000.0,0.36,2016-08-05,18:02:44,2016,August
230,2016-07-21 00:48:53,7.8N,1.6W,37.0,,,,,45000000000.0,0.15,2016-07-21,00:48:53,2016,July
231,2016-07-05 01:24:26,1.0N,48.6E,38.2,25.1,-10.3,-2.0,-22.8,153000000000.0,0.44,2016-07-05,01:24:26,2016,July
232,2016-06-27 10:02:42,15.8N,11.9W,33.3,29.1,-29.1,1.5,0.7,458000000000.0,1.2,2016-06-27,10:02:42,2016,June
233,2016-06-05 06:12:55,17.4S,138.3E,28.7,14.5,6.0,-11.9,5.7,331000000000.0,0.87,2016-06-05,06:12:55,2016,June
234,2016-06-02 10:56:32,33.8N,110.9W,,,,,,172000000000.0,0.49,2016-06-02,10:56:32,2016,June
235,2016-05-29 12:14:55,10.2N,48.8W,32.0,,,,,69000000000.0,0.22,2016-05-29,12:14:55,2016,May
236,2016-05-20 11:59:46,32.8S,15.1E,30.6,20.8,5.4,-9.9,17.5,20000000000.0,0.073,2016-05-20,11:59:46,2016,May
237,2016-05-16 10:09:41,3.2N,6.6E,41.7,12.2,-6.7,-3.3,-9.6,519000000000.0,1.3,2016-05-16,10:09:41,2016,May
238,2016-05-13 00:34:01,26.2N,122.3W,33.0,,,,,101000000000.0,0.31,2016-05-13,00:34:01,2016,May
239,2016-04-24 05:39:24,9.8N,42.8W,50.0,,,,,146000000000.0,0.42,2016-04-24,05:39:24,2016,April
240,2016-04-18 11:59:10,20.7N,14.5W,31.5,17.1,-3.5,2.2,-16.6,224000000000.0,0.62,2016-04-18,11:59:10,2016,April
241,2016-04-12 09:51:40,38.3N,162.2E,,,,,,20000000000.0,0.073,2016-04-12,09:51:40,2016,April
242,2016-04-10 14:57:53,22.0N,149.0E,35.2,15.1,4.7,-12.9,-6.4,655000000000.0,1.6,2016-04-10,14:57:53,2016,April
243,2016-03-16 23:54:20,49.2S,6.3W,42.0,13.3,-7.6,9.1,6.0,32000000000.0,0.11,2016-03-16,23:54:20,2016,March
244,2016-03-03 01:32:43,48.0S,51.0E,31.8,11.7,4.8,-7.1,7.9,58000000000.0,0.19,2016-03-03,01:32:43,2016,March
245,2016-02-23 03:59:13,32.3N,67.2E,44.0,17.9,-8.5,-1.6,-15.7,35000000000.0,0.12,2016-02-23,03:59:13,2016,February
246,2016-02-21 05:58:53,36.5N,37.2W,32.0,,,,,369000000000.0,0.96,2016-02-21,05:58:53,2016,February
247,2016-02-19 08:15:02,0.7N,11.6W,39.4,15.5,-14.9,-0.5,4.1,202000000000.0,0.56,2016-02-19,08:15:02,2016,February
248,2016-02-13 00:10:13,3.1N,117.9E,,,,,,51000000000.0,0.17,2016-02-13,00:10:13,2016,February
249,2016-02-06 13:55:09,30.4S,25.5W,31.0,15.6,2.7,14.5,5.0,6853000000000.0,13.0,2016-02-06,13:55:09,2016,February
250,2016-01-27 09:59:16,45.8S,53.6E,37.0,11.5,-10.0,-4.4,3.6,50000000000.0,0.16,2016-01-27,09:59:16,2016,January
251,2016-01-21 16:44:54,10.8S,0.7E,42.5,18.1,-3.8,-17.7,-1.2,46000000000.0,0.15,2016-01-21,16:44:54,2016,January
252,2015-12-30 13:07:50,33.8N,160.7W,39.0,,,,,22000000000.0,0.079,2015-12-30,13:07:50,2015,December
253,2015-12-21 02:32:48,5.9N,143.0E,42.2,12.1,6.4,-10.0,2.5,83000000000.0,0.26,2015-12-21,02:32:48,2015,December
254,2015-12-08 00:34:23,69.9S,150.5E,38.0,,,,,197000000000.0,0.55,2015-12-08,00:34:23,2015,December
255,2015-11-13 14:59:27,16.0N,124.3E,28.0,,,,,102000000000.0,0.31,2015-11-13,14:59:27,2015,November
256,2015-11-02 21:34:20,41.4S,33.0E,37.0,,,,,78000000000.0,0.24,2015-11-02,21:34:20,2015,November
257,2015-10-31 11:34:30,9.0N,138.0W,71.0,,,,,97000000000.0,0.29,2015-10-31,11:34:30,2015,October
258,2015-10-30 07:07:12,85.0S,161.7W,,,,,,180000000000.0,0.51,2015-10-30,07:07:12,2015,October
259,2015-10-13 12:23:08,8.0S,52.5W,38.9,12.9,-6.6,3.8,10.4,23000000000.0,0.082,2015-10-13,12:23:08,2015,October
260,2015-10-11 00:07:46,55.4S,18.8W,,,,,,30000000000.0,0.1,2015-10-11,00:07:46,2015,October
261,2015-10-10 09:57:51,51.0S,21.1W,51.8,11.8,-1.3,-5.1,10.6,36000000000.0,0.12,2015-10-10,09:57:51,2015,October
262,2015-10-04 21:02:17,22.0N,171.6W,36.1,,,,,44000000000.0,0.15,2015-10-04,21:02:17,2015,October
263,2015-09-17 21:03:14,43.1S,94.9E,,,,,,98000000000.0,0.3,2015-09-17,21:03:14,2015,September
264,2015-09-14 23:50:50,5.8N,15.2W,,,,,,70000000000.0,0.22,2015-09-14,23:50:50,2015,September
265,2015-09-08 13:46:42,6.3N,29.9E,44.4,16.1,-11.5,-11.3,-0.9,20000000000.0,0.073,2015-09-08,13:46:42,2015,September
266,2015-09-07 01:41:19,14.5N,98.9E,29.3,21.0,16.8,-12.0,-3.8,1798000000000.0,3.9,2015-09-07,01:41:19,2015,September
267,2015-09-02 20:10:30,39.1N,40.2E,39.8,24.1,10.3,-12.2,-18.0,37000000000.0,0.13,2015-09-02,20:10:30,2015,September
268,2015-08-04 10:24:59,9.6S,125.9E,,,,,,29000000000.0,0.1,2015-08-04,10:24:59,2015,August
269,2015-07-19 07:06:26,20.6N,87.6W,22.0,17.8,9.4,13.0,7.8,23000000000.0,0.082,2015-07-19,07:06:26,2015,July
270,2015-07-12 22:23:14,31.0N,159.6E,41.0,,,,,22000000000.0,0.079,2015-07-12,22:23:14,2015,July
271,2015-07-04 01:40:11,38.6N,103.1E,46.3,49.0,0.9,-40.4,-27.7,56000000000.0,0.18,2015-07-04,01:40:11,2015,July
272,2015-06-14 03:03:06,6.3N,124.1E,32.4,31.9,-4.7,-17.8,-26.0,71000000000.0,0.22,2015-06-14,03:03:06,2015,June
273,2015-06-12 17:03:35,1.3S,32.1W,43.5,,,,,176000000000.0,0.5,2015-06-12,17:03:35,2015,June
274,2015-06-10 17:43:03,11.5S,161.9W,61.1,,,,,384000000000.0,1.0,2015-06-10,17:43:03,2015,June
275,2015-06-02 08:44:50,6.4S,142.7W,,,,,,380000000000.0,0.99,2015-06-02,08:44:50,2015,June
276,2015-05-20 10:20:41,1.0N,172.6E,32.4,,,,,36000000000.0,0.12,2015-05-20,10:20:41,2015,May
277,2015-05-18 17:13:51,32.4N,139.1E,29.0,,,,,43000000000.0,0.14,2015-05-18,17:13:51,2015,May
278,2015-05-10 07:45:01,46.3S,179.3W,29.6,12.2,11.2,0.9,4.7,143000000000.0,0.42,2015-05-10,07:45:01,2015,May
279,2015-05-07 20:34:34,21.5S,29.3W,37.0,17.3,-16.2,-5.8,1.4,52000000000.0,0.17,2015-05-07,20:34:34,2015,May
280,2015-04-30 10:21:01,48.7S,139.1E,26.7,12.9,12.2,-4.2,0.9,105000000000.0,0.32,2015-04-30,10:21:01,2015,April
281,2015-04-21 01:42:51,37.7N,39.6W,37.4,21.3,-15.3,12.8,7.4,88000000000.0,0.27,2015-04-21,01:42:51,2015,April
282,2015-04-10 01:14:27,42.8S,8.2E,,,,,,65000000000.0,0.21,2015-04-10,01:14:27,2015,April
283,2015-04-08 04:06:31,25.5S,51.5E,36.3,19.2,8.0,-15.6,-7.9,173000000000.0,0.49,2015-04-08,04:06:31,2015,April
284,2015-04-03 01:39:38,8.4N,157.9W,,,,,,42000000000.0,0.14,2015-04-03,01:39:38,2015,April
285,2015-03-30 21:33:52,36.1S,5.5W,33.1,13.8,-13.7,-1.7,0.8,64000000000.0,0.2,2015-03-30,21:33:52,2015,March
286,2015-03-18 00:04:50,5.4S,159.3E,50.0,,,,,121000000000.0,0.36,2015-03-18,00:04:50,2015,March
287,2015-03-11 06:18:59,8.0N,119.1E,35.2,19.9,5.5,-10.5,-16.0,72000000000.0,0.23,2015-03-11,06:18:59,2015,March
288,2015-03-08 04:26:28,39.1S,118.6W,,,,,,20000000000.0,0.073,2015-03-08,04:26:28,2015,March
289,2015-03-04 04:30:05,15.9S,88.1E,39.8,18.0,7.8,-16.0,-2.5,55000000000.0,0.18,2015-03-04,04:30:05,2015,March
290,2015-02-26 22:06:24,68.0N,149.0W,33.7,21.1,5.6,-2.3,-20.2,188000000000.0,0.53,2015-02-26,22:06:24,2015,February
291,2015-02-25 10:53:24,12.4N,122.4W,42.0,,,,,58000000000.0,0.19,2015-02-25,10:53:24,2015,February
292,2015-02-17 13:19:50,8.0S,11.2W,39.0,28.8,-28.2,3.4,4.6,33000000000.0,0.11,2015-02-17,13:19:50,2015,February
293,2015-01-09 17:31:47,23.3S,49.2W,,,,,,22000000000.0,0.079,2015-01-09,17:31:47,2015,January
294,2015-01-09 10:41:11,2.0N,28.8E,36.0,17.5,-10.7,-7.6,11.6,139000000000.0,0.41,2015-01-09,10:41:11,2015,January
295,2015-01-07 01:05:59,45.7N,26.9E,45.5,35.7,-35.4,1.8,-4.4,136000000000.0,0.4,2015-01-07,01:05:59,2015,January
296,2015-01-02 13:39:19,31.1S,140.0E,38.1,18.1,4.5,-14.4,-10.0,20000000000.0,0.073,2015-01-02,13:39:19,2015,January
297,2014-12-13 02:53:52,86.7N,162.1W,30.7,21.7,15.3,-13.3,-7.8,44000000000.0,0.15,2014-12-13,02:53:52,2014,December
298,2014-12-12 06:48:11,33.5N,144.9E,26.3,12.0,11.5,-2.8,-2.2,33000000000.0,0.11,2014-12-12,06:48:11,2014,December
299,2014-12-09 21:19:18,76.6N,96.3E,26.3,,,,,78000000000.0,0.24,2014-12-09,21:19:18,2014,December
300,2014-11-28 11:47:18,45.8S,172.7W,26.1,13.4,0.4,-1.4,13.3,700000000000.0,1.7,2014-11-28,11:47:18,2014,November
301,2014-11-27 12:12:52,18.8S,73.4W,38.0,,,,,55000000000.0,0.18,2014-11-27,12:12:52,2014,November
302,2014-11-26 23:16:51,69.5S,179.7W,23.3,25.3,21.3,2.2,13.4,118000000000.0,0.35,2014-11-26,23:16:51,2014,November
303,2014-11-26 17:40:16,68.2S,24.0W,37.0,19.9,-7.0,16.1,9.4,105000000000.0,0.32,2014-11-26,17:40:16,2014,November
304,2014-11-04 20:13:30,43.1N,115.8E,22.2,16.0,-7.2,-12.1,-7.7,156000000000.0,0.45,2014-11-04,20:13:30,2014,November
305,2014-10-21 18:55:37,22.2N,132.9W,,,,,,34000000000.0,0.12,2014-10-21,18:55:37,2014,October
306,2014-10-17 14:07:36,4.6S,66.3W,39.0,,,,,72000000000.0,0.23,2014-10-17,14:07:36,2014,October
307,2014-10-14 10:25:03,2.0S,119.2E,27.2,16.9,15.0,-6.9,-3.5,29000000000.0,0.1,2014-10-14,10:25:03,2014,October
308,2014-10-06 20:02:15,43.7S,85.7E,,,,,,39000000000.0,0.13,2014-10-06,20:02:15,2014,October
309,2014-09-09 18:55:46,3.2N,137.2E,32.5,,,,,28000000000.0,0.098,2014-09-09,18:55:46,2014,September
310,2014-09-05 21:37:26,22.7N,150.0W,,,,,,35000000000.0,0.12,2014-09-05,21:37:26,2014,September
311,2014-08-29 23:15:39,6.2S,49.9W,,,,,,26000000000.0,0.092,2014-08-29,23:15:39,2014,August
312,2014-08-28 03:07:45,3.2N,45.4W,,,,,,34000000000.0,0.12,2014-08-28,03:07:45,2014,August
313,2014-08-23 06:29:41,61.7S,132.6E,22.2,16.2,-2.3,5.7,16.5,3819000000000.0,7.6,2014-08-23,06:29:41,2014,August
314,2014-07-29 07:38:07,49.2S,172.2W,,,,,,73000000000.0,0.23,2014-07-29,07:38:07,2014,July
315,2014-07-29 03:07:43,33.9S,115.9W,,,,,,53000000000.0,0.17,2014-07-29,03:07:43,2014,July
316,2014-06-28 02:40:07,18.9N,141.2E,26.3,12.4,12.0,3.5,-10.5,245000000000.0,0.67,2014-06-28,02:40:07,2014,June
317,2014-06-26 05:54:41,71.5S,93.4E,28.5,11.2,7.0,2.9,8.3,61000000000.0,0.2,2014-06-26,05:54:41,2014,June
318,2014-05-29 01:12:36,21.9N,131.1W,28.7,,,,,58000000000.0,0.19,2014-05-29,01:12:36,2014,May
319,2014-05-16 20:06:28,39.4S,95.9W,30.8,18.0,2.9,13.4,-12.5,136000000000.0,0.4,2014-05-16,20:06:28,2014,May
320,2014-05-16 12:42:48,44.2S,176.2W,44.0,16.5,14.4,4.6,6.5,309000000000.0,0.82,2014-05-16,12:42:48,2014,May
321,2014-05-08 19:42:37,36.9S,87.3E,35.4,19.0,-2.0,-16.1,9.9,1050000000000.0,2.4,2014-05-08,19:42:37,2014,May
322,2014-03-29 13:45:41,28.7S,121.5E,30.7,16.3,10.0,-12.7,2.2,39000000000.0,0.13,2014-03-29,13:45:41,2014,March
323,2014-03-18 11:02:37,0.0N,111.8W,30.5,,,,,540000000000.0,1.3,2014-03-18,11:02:37,2014,March
324,2014-03-03 15:00:21,29.0S,94.9W,,,,,,94000000000.0,0.29,2014-03-03,15:00:21,2014,March
325,2014-02-18 12:50:44,32.8S,61.5W,,,,,,26000000000.0,0.092,2014-02-18,12:50:44,2014,February
326,2014-02-13 06:47:42,13.3N,110.7W,25.0,,,,,630000000000.0,1.5,2014-02-13,06:47:42,2014,February
327,2014-01-15 02:46:19,18.5S,141.8E,29.6,,,,,140000000000.0,0.41,2014-01-15,02:46:19,2014,January
328,2014-01-12 16:00:48,2.9N,64.4E,37.0,16.2,-5.2,-15.1,2.6,78000000000.0,0.24,2014-01-12,16:00:48,2014,January
329,2014-01-08 17:05:34,1.3S,147.6E,18.7,44.8,-3.4,-43.5,-10.3,31000000000.0,0.11,2014-01-08,17:05:34,2014,January
330,2013-12-23 08:30:57,39.5N,2.0E,34.3,15.1,-1.1,11.4,-9.9,147000000000.0,0.43,2013-12-23,08:30:57,2013,December
331,2013-12-08 03:10:09,32.8N,165.1W,23.5,11.8,2.3,2.5,-11.3,64000000000.0,0.2,2013-12-08,03:10:09,2013,December
332,2013-11-21 01:50:35,44.7N,35.3E,59.3,12.4,-5.0,-11.0,-2.7,75000000000.0,0.23,2013-11-21,01:50:35,2013,November
333,2013-10-12 16:06:45,19.1S,25.0W,22.2,12.8,-8.0,8.4,-5.5,1610000000000.0,3.5,2013-10-12,16:06:45,2013,October
334,2013-10-09 17:27:36,,,,,,,,60000000000.0,0.19,2013-10-09,17:27:36,2013,October
335,2013-09-24 15:31:16,10.3S,164.7W,40.7,,,,,160000000000.0,0.46,2013-09-24,15:31:16,2013,September
336,2013-08-12 18:08:02,34.4S,118.2E,66.6,,,,,44000000000.0,0.15,2013-08-12,18:08:02,2013,August
337,2013-07-31 07:00:38,,,,,,,,39000000000.0,0.13,2013-07-31,07:00:38,2013,July
338,2013-07-31 03:50:14,31.8S,137.1E,29.1,17.8,17.7,-2.3,-0.1,69000000000.0,0.22,2013-07-31,03:50:14,2013,July
339,2013-07-30 02:36:58,50.2S,90.2E,25.6,18.8,15.9,-8.6,5.1,390000000000.0,1.0,2013-07-30,02:36:58,2013,July
340,2013-07-27 08:30:36,0.3N,156.2E,26.5,22.1,16.0,14.9,-3.3,120000000000.0,0.36,2013-07-27,08:30:36,2013,July
341,2013-07-26 11:32:26,21.0N,178.5W,37.0,,,,,20000000000.0,0.073,2013-07-26,11:32:26,2013,July
342,2013-07-18 00:46:37,,,,,,,,22000000000.0,0.079,2013-07-18,00:46:37,2013,July
343,2013-06-13 02:51:14,,,,,,,,22000000000.0,0.079,2013-06-13,02:51:14,2013,June
344,2013-06-01 22:49:48,65.6S,138.4E,28.9,,,,,34000000000.0,0.12,2013-06-01,22:49:48,2013,June
345,2013-05-14 23:20:21,3.0S,76.4E,,,,,,20000000000.0,0.073,2013-05-14,23:20:21,2013,May
346,2013-04-30 08:40:38,35.5N,30.7W,21.2,12.1,1.0,9.0,-8.0,5110000000000.0,10.0,2013-04-30,08:40:38,2013,April
347,2013-04-21 06:23:12,28.1S,64.6W,40.7,14.9,5.0,14.0,1.0,1066000000000.0,2.5,2013-04-21,06:23:12,2013,April
348,2013-03-12 10:32:59,32.7S,17.1E,26.0,,,,,29000000000.0,0.1,2013-03-12,10:32:59,2013,March
349,2013-02-20 13:13:07,23.0S,38.8W,,13.6,-11.0,-8.0,-1.0,32000000000.0,0.1,2013-02-20,13:13:07,2013,February
350,2013-02-15 03:20:33,54.8N,61.1E,23.3,18.6,12.8,-13.3,-2.4,375000000000000.0,440.0,2013-02-15,03:20:33,2013,February
351,2013-02-07 13:12:24,18.8S,158.6W,,,,,,65000000000.0,0.21,2013-02-07,13:12:24,2013,February
352,2013-01-25 07:40:18,60.3N,64.6W,,,,,,3400000000000.0,6.9,2013-01-25,07:40:18,2013,January
353,2013-01-12 03:04:21,15.1S,155.6W,36.1,,,,,48000000000.0,0.16,2013-01-12,03:04:21,2013,January
354,2012-12-30 07:25:35,17.3N,83.6W,,,,,,198000000000.0,0.55,2012-12-30,07:25:35,2012,December
355,2012-12-18 11:19:17,,,,,,,,27000000000.0,0.095,2012-12-18,11:19:17,2012,December
356,2012-11-20 20:37:31,2.5N,29.6E,33.3,14.3,-12.2,-5.3,5.3,25000000000.0,0.089,2012-11-20,20:37:31,2012,November
357,2012-11-20 06:25:11,8.0S,86.0W,,,,,,120000000000.0,0.36,2012-11-20,06:25:11,2012,November
358,2012-10-25 15:57:19,,,,,,,,30000000000.0,0.1,2012-10-25,15:57:19,2012,October
359,2012-10-19 16:26:22,75.4S,49.6E,29.3,13.2,-2.3,-3.9,12.4,23000000000.0,0.082,2012-10-19,16:26:22,2012,October
360,2012-10-09 00:54:55,51.2N,84.6W,27.8,13.5,3.4,12.0,5.1,210000000000.0,0.58,2012-10-09,00:54:55,2012,October
361,2012-10-03 22:50:12,41.5S,21.9W,,17.0,-2.4,5.5,15.9,280000000000.0,0.75,2012-10-03,22:50:12,2012,October
362,2012-10-02 16:38:38,8.1S,111.9W,35.0,15.4,1.4,15.3,1.0,470000000000.0,1.2,2012-10-02,16:38:38,2012,October
363,2012-09-28 05:44:12,6.9S,73.7E,,,,,,38000000000.0,0.13,2012-09-28,05:44:12,2012,September
364,2012-09-18 19:34:39,1.2N,52.2W,28.1,18.3,-1.9,14.1,-11.5,244000000000.0,0.67,2012-09-18,19:34:39,2012,September
365,2012-09-11 22:07:30,18.9S,105.2E,,,,,,52000000000.0,0.17,2012-09-11,22:07:30,2012,September
366,2012-09-10 01:03:32,69.8S,111.7W,23.8,16.9,-10.2,-5.2,12.4,23000000000.0,0.082,2012-09-10,01:03:32,2012,September
367,2012-08-27 06:57:43,18.3S,64.2E,38.7,28.9,-8.0,-23.7,-14.5,68000000000.0,0.22,2012-08-27,06:57:43,2012,August
368,2012-08-26 14:55:47,11.8N,117.0E,36.0,12.7,5.0,-11.6,-0.7,249000000000.0,0.68,2012-08-26,14:55:47,2012,August
369,2012-08-13 05:31:53,,,,,,,,33000000000.0,0.11,2012-08-13,05:31:53,2012,August
370,2012-07-27 04:19:50,63.1N,172.3E,27.2,,,,,34000000000.0,0.12,2012-07-27,04:19:50,2012,July
371,2012-07-25 07:48:20,36.4N,41.5E,26.8,18.5,0.8,2.0,-18.4,133000000000.0,0.39,2012-07-25,07:48:20,2012,July
372,2012-06-05 07:44:54,,,,,,,,24000000000.0,0.086,2012-06-05,07:44:54,2012,June
373,2012-05-25 11:31:24,41.8S,36.2W,,,,,,60000000000.0,0.19,2012-05-25,11:31:24,2012,May
374,2012-05-22 08:31:42,,,,,,,,211000000000.0,0.59,2012-05-22,08:31:42,2012,May
375,2012-05-15 11:04:17,61.8S,135.5W,33.3,17.1,-0.8,1.1,17.0,132000000000.0,0.39,2012-05-15,11:04:17,2012,May
376,2012-05-04 21:54:49,76.7N,10.6W,,,,,,229000000000.0,0.63,2012-05-04,21:54:49,2012,May
377,2012-04-23 22:01:10,36.2N,107.4E,25.2,,,,,44000000000.0,0.15,2012-04-23,22:01:10,2012,April
378,2012-04-21 16:08:23,15.8S,174.8W,,,,,,143000000000.0,0.42,2012-04-21,16:08:23,2012,April
379,2012-04-19 22:12:10,5.5N,16.8E,,,,,,30000000000.0,0.1,2012-04-19,22:12:10,2012,April
380,2012-04-02 16:50:33,28.1N,95.2W,,,,,,32000000000.0,0.11,2012-04-02,16:50:33,2012,April
381,2012-03-12 06:40:44,2.5N,139.8E,25.0,11.8,0.1,-11.8,0.3,99000000000.0,0.3,2012-03-12,06:40:44,2012,March
382,2012-03-03 21:28:24,7.8N,2.7E,20.4,,,,,101000000000.0,0.31,2012-03-03,21:28:24,2012,March
383,2012-03-01 03:12:40,46.9N,29.8W,,,,,,22000000000.0,0.079,2012-03-01,03:12:40,2012,March
384,2012-02-24 19:11:41,22.7S,30.8E,,,,,,37000000000.0,0.13,2012-02-24,19:11:41,2012,February
385,2012-02-17 10:47:16,3.2S,39.9W,45.6,,,,,154000000000.0,0.44,2012-02-17,10:47:16,2012,February
386,2012-02-16 04:50:52,9.8N,151.8E,,,,,,98000000000.0,0.3,2012-02-16,04:50:52,2012,February
387,2012-02-12 05:25:52,31.7S,54.9E,61.0,,,,,140000000000.0,0.41,2012-02-12,05:25:52,2012,February
388,2012-02-04 14:42:51,32.4N,0.1E,34.2,12.2,-3.9,10.9,4.0,150000000000.0,0.43,2012-02-04,14:42:51,2012,February
389,2012-01-15 12:26:20,64.1S,109.9E,26.3,12.3,-1.9,5.1,11.0,21000000000.0,0.076,2012-01-15,12:26:20,2012,January
390,2012-01-11 02:23:15,32.2N,88.5E,,,,,,85000000000.0,0.26,2012-01-11,02:23:15,2012,January
391,2011-12-19 11:35:39,30.2S,52.6E,36.1,,,,,135000000000.0,0.4,2011-12-19,11:35:39,2011,December
392,2011-12-14 05:01:38,62.9S,89.6E,32.4,,,,,50000000000.0,0.16,2011-12-14,05:01:38,2011,December
393,2011-12-11 17:29:33,,,,,,,,29000000000.0,0.1,2011-12-11,17:29:33,2011,December
394,2011-11-20 05:25:05,27.9S,116.3E,,,,,,23000000000.0,0.082,2011-11-20,05:25:05,2011,November
395,2011-10-12 07:13:20,26.4S,78.4W,,,,,,36000000000.0,0.12,2011-10-12,07:13:20,2011,October
396,2011-09-13 23:36:47,19.9S,13.8W,21.3,16.7,-3.7,1.8,16.2,67000000000.0,0.21,2011-09-13,23:36:47,2011,September
397,2011-08-31 09:44:13,18.6N,5.1W,,,,,,27000000000.0,0.095,2011-08-31,09:44:13,2011,August
398,2011-08-20 20:01:37,27.2S,2.8W,,,,,,23000000000.0,0.082,2011-08-20,20:01:37,2011,August
399,2011-08-18 14:55:45,,,,,,,,23000000000.0,0.082,2011-08-18,14:55:45,2011,August
